City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dourbali,11.8091,15.8632,31.29,13,5,3.2,TD,1671536328
84,toora-khem,52.4675,96.11,-13.72,97,100,0.65,RU,1671536328
85,lompoc,34.6391,-120.4579,13.77,93,100,2.57,US,1671536329
86,bang krathum,16.5783,100.3003,25.01,56,97,0.3,TH,1671536329
87,paka,4.6374,103.4368,24.99,94,40,0.0,MY,1671536330
88,tiksi,71.6872,128.8694,-24.5,97,99,3.13,RU,1671536330
89,rivera,-30.9053,-55.5508,21.92,67,50,4.43,UY,1671536331
90,san vicente,-26.6167,-54.1333,24.73,54,1,0.26,AR,1671536332
91,mataura,-46.1927,168.8643,8.82,75,98,1.32,NZ,1671536332
92,arraial do cabo,-22.9661,-42.0278,21.98,88,100,7.72,BR,1671536333
93,sao filipe,14.8961,-24.4956,26.71,49,0,5.33,CV,1671536333
94,tessalit,20.1986,1.0114,26.52,14,0,5.75,ML,1671536334
95,taldan,53.6667,124.8,-32.12,100,91,0.76,RU,1671536334
96,iquique,-20.2208,-70.1431,19.02,73,16,2.48,CL,1671536334
97,bambous virieux,-20.3428,57.7575,29.14,58,20,6.17,MU,1671536335
98,renqiu,38.6989,116.0936,-1.02,35,3,3.07,CN,1671536335
99,san lawrenz,36.0553,14.204,16.59,76,22,0.45,MT,1671536336
100,ponta do sol,32.6667,-17.1,23.89,81,65,1.52,PT,1671536336
101,vestmannaeyjar,63.4427,-20.2734,1.55,60,100,4.12,IS,1671536337
102,brae,60.3964,-1.3530000000000002,8.2,78,15,7.79,GB,1671536338
103,provideniya,64.3833,-173.3,-7.74,83,5,6.49,RU,1671536338
104,tucuman,-26.8241,-65.2226,23.0,78,20,1.03,AR,1671536043
105,hirara,24.8,125.2833,20.15,64,40,4.63,JP,1671536339
106,gazojak,41.1875,61.4036,4.83,34,22,3.52,TM,1671536339
107,isangel,-19.55,169.2667,26.66,78,24,1.32,VU,1671536050
108,beaverlodge,55.2166,-119.4361,-35.36,100,99,1.23,CA,1671536340
109,cayenne,4.9333,-52.3333,27.02,78,0,4.12,GF,1671536243
110,orbe,46.725,6.5307,13.53,65,82,3.33,CH,1671536341
111,sfantu gheorghe,45.8667,25.7833,2.18,33,76,0.65,RO,1671536341
112,severo-kurilsk,50.6789,156.125,-2.01,92,100,19.09,RU,1671536342
113,port alfred,-33.5906,26.891,20.1,81,84,4.02,ZA,1671536342
114,margate,51.3813,1.3862,11.61,81,90,0.89,GB,1671536343
115,korla,41.7597,86.1469,-4.91,43,0,2.82,CN,1671536343
116,pahrump,36.2083,-115.9839,3.03,34,100,0.83,US,1671536344
117,kaitangata,-46.2817,169.8464,9.67,74,100,2.2,NZ,1671536345
118,yerkoy,39.6381,34.4672,3.86,46,36,5.14,TR,1671536345
119,chokurdakh,70.6333,147.9167,-20.94,99,92,1.06,RU,1671536346
120,severodvinsk,64.5635,39.8302,-10.94,98,88,3.0,RU,1671536346
121,new norfolk,-42.7826,147.0587,13.84,70,4,0.45,AU,1671536347
122,antalaha,-14.9003,50.2788,28.23,64,63,3.79,MG,1671536348
123,kushmurun,52.4503,64.6311,-8.18,91,100,3.91,KZ,1671536348
124,yaizu,34.8667,138.3333,5.05,60,20,3.6,JP,1671536349
125,salalah,17.0151,54.0924,29.05,21,0,7.72,OM,1671536349
126,tasiilaq,65.6145,-37.6368,-9.91,60,0,1.98,GL,1671536350
127,loukhi,66.0764,33.0381,-13.23,97,100,1.46,RU,1671536351
128,gizo,-8.103,156.8419,28.64,74,99,1.66,SB,1671536351
129,san ramon,37.7799,-121.978,6.56,91,0,3.09,US,1671536068
130,jijiga,9.35,42.8,23.44,30,13,7.16,ET,1671536352
131,gao,16.6362,1.6369999999999998,27.82,11,96,8.54,ML,1671536353
132,maniitsoq,65.4167,-52.9,-5.87,55,14,2.07,GL,1671536353
133,taunggyi,20.7833,97.0333,14.63,84,86,0.92,MM,1671536354
134,tuktoyaktuk,69.4541,-133.0374,-21.01,97,100,3.2,CA,1671536354
135,beringovskiy,63.05,179.3167,0.07,79,99,11.66,RU,1671536355
136,kijang,35.2442,129.2139,2.85,44,29,0.81,KR,1671536355
137,enfield,-34.8526,138.6026,25.79,40,40,2.06,AU,1671536174
138,ilulissat,69.2167,-51.1,-4.99,36,0,4.12,GL,1671536356
139,nicoya,10.1483,-85.45200000000001,20.21,90,37,0.33,CR,1671536357
140,hovd,48.0056,91.6419,-13.52,76,65,1.1,MN,1671536357
141,butaritari,3.0707,172.7902,27.12,82,84,7.95,KI,1671536358
142,ambulu,-8.345,113.6058,25.79,84,64,0.72,ID,1671536358
143,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.67,100,100,2.0,RU,1671536328
144,garowe,8.4054,48.4845,32.29,30,23,7.82,SO,1671536359
145,kavieng,-2.5744,150.7967,27.5,76,100,1.77,PG,1671536360
146,abilene,32.4487,-99.7331,2.12,78,75,7.2,US,1671536227
147,fortuna,40.5982,-124.1573,8.29,90,100,4.63,US,1671536360
148,yhu,-25.05,-55.9167,26.92,59,0,1.32,PY,1671536361
149,abnub,27.2696,31.1511,23.39,35,24,6.51,EG,1671536362
150,bathsheba,13.2167,-59.5167,26.34,94,20,6.69,BB,1671536075
151,manggar,-2.8833,108.2667,27.0,79,100,1.06,ID,1671536363
152,dudinka,69.4058,86.1778,-34.1,100,94,0.98,RU,1671536363
153,roros,62.5747,11.3842,-3.09,86,75,0.0,NO,1671536364
154,bontang,0.1333,117.5,27.02,84,88,2.94,ID,1671536364
155,castro,-24.7911,-50.0119,18.93,81,95,2.57,BR,1671536365
156,san patricio,28.017,-97.5169,11.02,93,2,4.08,US,1671536307
157,nyurba,63.2842,118.3319,-41.08,100,71,1.27,RU,1671536366
158,mar del plata,-38.0023,-57.5575,24.35,89,75,5.36,AR,1671536366
159,dukat,62.55,155.55,-10.19,96,94,2.64,RU,1671536367
160,cidreira,-30.1811,-50.2056,20.95,87,99,6.84,BR,1671536367
161,codrington,-38.2667,141.9667,15.79,61,94,6.47,AU,1671536368
162,biltine,14.5333,20.9167,31.51,14,29,1.09,TD,1671536369
163,spoleto,42.7448,12.7374,10.45,72,46,1.4,IT,1671536369
164,hofn,64.2539,-15.2082,1.05,71,100,19.45,IS,1671536369
165,qui nhon,13.7667,109.2333,22.19,86,73,6.06,VN,1671536192
166,anuradhapura,8.3565,80.4173,24.41,89,100,3.42,LK,1671536370
167,beyneu,45.3167,55.2,-0.91,75,100,7.0,KZ,1671536371
168,luba,3.4568,8.5547,27.05,78,56,2.32,GQ,1671536371
169,lorengau,-2.0226,147.2712,27.16,76,100,1.78,PG,1671536372
170,palmer,42.1584,-72.3287,-1.25,66,0,2.57,US,1671536176
171,tevriz,57.50899999999999,72.4042,-11.48,90,100,4.45,RU,1671536373
172,san quintin,30.4833,-115.95,13.58,67,96,3.48,MX,1671536374
173,weihe,32.9952,105.3247,0.29,43,0,0.3,CN,1671536374
174,poronaysk,49.2167,143.1167,-18.77,92,20,3.37,RU,1671536375
175,la ronge,55.1001,-105.2842,-26.86,69,40,3.09,CA,1671536375
176,saint anthony,45.0205,-93.21799999999999,-17.03,80,0,6.17,US,1671536376
177,olinda,-8.0089,-34.8553,27.85,65,40,4.12,BR,1671536093
178,padang,-0.9492,100.3543,28.03,82,44,1.81,ID,1671536377
179,chingola,-12.529000000000002,27.8838,21.17,74,100,3.15,ZM,1671536377
180,qaanaaq,77.484,-69.3632,-25.97,69,0,3.31,GL,1671536378
181,nadym,65.5333,72.5167,-23.72,88,100,7.32,RU,1671536378
182,cradock,-32.1642,25.6192,24.43,30,13,6.67,ZA,1671536379
183,chuy,-33.6971,-53.4616,23.09,62,2,6.19,UY,1671536379
184,katsuura,35.1333,140.3,7.65,50,12,0.87,JP,1671536380
185,la asuncion,11.0333,-63.8628,22.85,100,61,5.66,VE,1671536380
186,pendleton,45.6721,-118.7886,-7.99,80,100,0.0,US,1671536381
187,churapcha,62.0025,132.4325,-44.2,100,89,0.81,RU,1671536381
188,sakmara,51.9844,55.3338,-9.97,95,20,1.99,RU,1671536382
189,chapais,49.7834,-74.8492,-8.12,99,94,1.42,CA,1671536382
190,ponta delgada,37.7333,-25.6667,19.17,94,20,6.17,PT,1671536383
191,taltal,-25.4,-70.4833,20.99,70,38,2.02,CL,1671536383
192,geraldton,-28.7667,114.6,27.23,41,75,1.54,AU,1671536384
193,socastee,33.6835,-78.9984,6.12,65,75,3.09,US,1671536384
194,lucea,18.451,-78.1736,24.92,80,1,4.61,JM,1671536386
195,darab,28.7519,54.5444,15.2,22,0,1.53,IR,1671536386
196,flinders,-34.5833,150.8552,16.21,76,14,1.79,AU,1671536387
197,bereznik,62.8551,42.7072,-19.16,100,85,1.48,RU,1671536387
198,esperance,-33.8667,121.9,17.13,88,1,5.25,AU,1671536388
199,sao joao da barra,-21.6403,-41.0511,24.05,93,100,3.42,BR,1671536388
200,broome,42.2506,-75.833,-2.57,80,100,2.57,US,1671536389
201,bethel,41.3712,-73.414,0.05,63,0,4.12,US,1671536156
202,plouzane,48.3833,-4.6167,11.18,87,100,2.57,FR,1671536389
203,wilmington,34.2257,-77.9447,5.51,63,0,2.57,US,1671536244
204,barra patuca,15.8,-84.2833,24.19,86,32,4.55,HN,1671536390
205,goundam,16.4145,-3.6708,28.67,9,99,6.91,ML,1671536391
206,veere,51.5483,3.6667,11.14,95,100,8.75,NL,1671536391
207,dhidhdhoo,6.8833,73.1,27.77,66,94,1.88,MV,1671536392
208,longyearbyen,78.2186,15.6401,-13.09,85,75,1.54,SJ,1671536392
209,namibe,-15.1961,12.1522,23.87,63,30,5.29,AO,1671536393
210,skibbereen,51.55,-9.2667,9.5,60,18,10.53,IE,1671536393
211,mahebourg,-20.4081,57.7,29.16,58,20,6.17,MU,1671536394
212,belmonte,-15.8631,-38.8828,26.93,70,79,4.12,BR,1671536394
213,elumalai,9.8667,77.7,28.5,74,53,2.49,IN,1671536395
214,casa nova,-9.4167,-41.1333,27.41,47,100,6.8,BR,1671536396
215,campbell river,50.0163,-125.2446,-5.41,81,100,2.72,CA,1671536396
216,vung tau,10.345999999999998,107.0843,25.41,83,39,3.96,VN,1671536157
217,hasaki,35.7333,140.8333,0.22,32,0,2.33,JP,1671536397
218,domoni,-12.2569,44.5319,29.53,65,14,2.49,KM,1671536398
219,pangkalanbuun,-2.6833,111.6167,25.11,87,57,1.11,ID,1671536252
220,tatvan,38.5067,42.2817,6.09,50,91,2.43,TR,1671536399
221,kota bahru,6.1333,102.2386,24.99,94,20,0.0,MY,1671536400
222,yar-sale,66.8333,70.8333,-24.57,99,100,6.59,RU,1671536401
223,utica,43.1009,-75.2327,-2.94,98,81,1.09,US,1671536317
224,oussouye,12.485,-16.5469,29.05,13,0,6.29,SN,1671536402
225,virovitica,45.8319,17.3839,4.13,60,63,1.21,HR,1671536402
226,olafsvik,64.8945,-23.7142,-0.62,71,93,21.31,IS,1671536403
227,rio grande,-32.035,-52.0986,23.06,75,56,8.01,BR,1671536337
228,padilla,3.2204,-76.3139,18.76,77,98,1.38,CO,1671536404
229,okitipupa,6.5047,4.7839,35.17,25,26,1.08,NG,1671536404
230,coos bay,43.3665,-124.2179,8.41,99,75,3.6,US,1671536320
231,havoysund,70.9963,24.6622,-2.87,74,69,5.16,NO,1671536405
232,meulaboh,4.1363,96.1285,25.96,81,83,1.44,ID,1671536406
233,clyde river,70.4692,-68.5914,-18.87,71,75,0.0,CA,1671536406
234,vila do maio,15.1333,-23.2167,26.44,73,0,8.08,CV,1671536407
235,puerto el triunfo,13.2833,-88.55,22.97,68,0,2.43,SV,1671536407
236,nongpoh,25.9,91.8833,18.76,85,63,0.93,IN,1671536408
237,santa maria,-29.6842,-53.8069,20.61,83,75,3.6,BR,1671535951
238,oranjestad,12.524000000000001,-70.027,26.62,82,20,6.17,AW,1671536409
239,havelock,34.8791,-76.9013,4.97,70,0,3.6,US,1671536409
240,zihuatanejo,17.6333,-101.55,23.1,65,44,1.85,MX,1671536410
241,kalmunai,7.4167,81.8167,25.24,87,100,5.28,LK,1671536410
242,launceston,-41.45,147.1667,15.8,72,100,4.12,AU,1671536411
243,bataipora,-22.2953,-53.2711,24.52,69,12,2.52,BR,1671536411
244,sungaipenuh,-2.0833,101.3833,19.42,93,99,0.49,ID,1671536412
245,marsaxlokk,35.8419,14.5431,17.27,77,20,3.09,MT,1671536412
246,okha,53.5739,142.9478,-18.46,82,100,12.17,RU,1671536413
247,nikolskoye,59.7035,30.7861,-8.06,95,58,2.02,RU,1671536413
248,richards bay,-28.783,32.0377,25.2,65,99,3.3,ZA,1671536414
249,narsaq,60.9167,-46.05,-11.88,62,0,3.7,GL,1671536414
